author_name;book_id;role_name
Остальский А.;470333;автор
Абдуллаев Ч.;1184779;автор
Дойл А.;934169;автор
Кутявина Н.;1166287;автор
Вирта Т.;1005125;автор
Яковлева О.;493983;ред
Епифанова О.;707856;автор
Хау Х.;973997;ред
Смит К.;809446;автор
Лир Е.;962889;автор
Бекнел Р.;341607;автор
Матвеев С.;850048;автор
Крылов Д.;317686;автор
Матвеев С.;858127;автор
Макеев А.;1095437;автор
Лессманн С.;389166;автор
Барто А.;1166297;автор
Казл В.;762760;худ
Тимофеева С.;1215610;автор
Олегарио Р.;1025742;автор
Дмитриева В.;846053;автор
Анучин А.;945287;автор
Азимов А.;1087501;автор
Волченко Ю.;783366;ред
Чехов А.;766205;автор
Розман Н.;826772;ред
Донцова Д.;844904;автор
Гюго В.;831959;автор
Конторович А.;837653;автор
Травина И.;380650;автор
Оруэлл Дж.;690081;автор
Братушева А.;549206;ред
Бедуайер К.;1229896;автор
Перро Ш.;337953;автор
Волченко Ю.;889550;ред
Матвеев С.;1237025;автор
Кутявина Н.;947633;автор
Давыденко Е.;1222420;сост
Грей К.;575402;автор
Хрусталева Е.;951064;автор
Дмитриева В.;851956;сост
Пронин И.;346943;автор
Кассиль Л.;899845;автор
Акимов Б.;1021198;автор
Рахманов А.;947601;худ
Лао Минь.;1177253;автор
Дэшнер Дж.;1047166;автор
Олди ГЛ.;440946;автор
Слипенчук В.;818999;автор
Кузечкин А.;1216027;автор
Ода Э.;1214965;автор
Раневская Ф.;812270;автор
Лесина Е.;492964;автор
Полякова Т.;1190952;автор
Широкорад А.;435339;автор
Панов Д.;334419;автор
Питерс С.;808880;автор
Фоллетт К.;774947;автор
Блаво Р.;305687;автор
Аксенов А.;752514;автор
Костюкова К.;835580;пер
Саломатина Е.;961489;ред
Смирнова Е.;1225190;автор
Юраш К.;1068121;автор
Ткачев А.;900536;автор
Беляева Т.;891602;ред
Голден А.;1034926;автор
Матвеев С.;867586;автор
Шереметьева Т.;855597;автор
Барто А.;834224;автор
Дорофеева Е.;983024;ред
Володарская О.;1091224;автор
Маллован М.;1175490;автор
Гумилев Л.;469371;автор
Злотников С.;505834;автор
Фетисова МС.;725730;ред
Васильев Н.;1235791;автор
Аргов Ш.;1244299;автор
Гажей В.;365171;ред
Камбиас Дж.;940296;автор
Воронин А.;408766;автор
Носов Н.;830576;автор
Войнич Э.;1218866;автор
Каменев А.;1165777;автор
Мерес Д.;1070199;автор
Куликова Г.;1077085;автор
Артюхова И.;1009517;автор
Перумов Н.;749027;автор
Павлов Н.;339747;автор
Данко С.;743625;автор
